dataset,seed,classifier,technique,category,accuracy,f1,auc,mcc,stat_parity_diff,eq_odds_diff,eq_opp_diff,disparate_impact
COMPAS,123,XGBoost,Baseline,none,0.6824,0.7198,0.7221,0.3598,-0.2544,-0.2221,-0.1692,0.6642
COMPAS,123,XGBoost,CalibratedEqOdds,post,0.654,0.7178,0.6752,0.3072,-0.4969,-0.4924,-0.3082,0.5031
COMPAS,123,XGBoost,RejectOption,post,0.6547,0.7116,0.7221,0.3054,-0.0004,0.0318,0.0507,0.9994
COMPAS,123,MLP,Baseline,none,0.6806,0.7173,0.7325,0.3559,-0.3316,-0.3039,-0.2258,0.5865
COMPAS,123,MLP,CalibratedEqOdds,post,0.6566,0.7152,0.6792,0.3102,-0.5297,-0.5251,-0.3375,0.4703
COMPAS,123,MLP,RejectOption,post,0.6679,0.7258,0.7325,0.3351,0.0425,0.0799,0.0851,1.0651
COMPAS,123,LogReg,Reweighing,pre,0.6698,0.7099,0.7225,0.334,0.0104,0.0469,0.0689,1.0174
COMPAS,123,RandomForest,Reweighing,pre,0.6301,0.6589,0.6762,0.2552,-0.0899,-0.0659,-0.0235,0.852
COMPAS,123,XGBoost,Reweighing,pre,0.6686,0.7126,0.7182,0.3318,-0.064,-0.03,0.0004,0.9031
COMPAS,123,MLP,Reweighing,pre,0.6629,0.7138,0.7146,0.3212,-0.0401,-0.0082,0.027,0.9401
COMPAS,123,LogReg,DisparateImpactRemover,pre,0.697,0.7333,0.7321,0.3896,-0.2386,-0.204,-0.1399,0.6823
COMPAS,123,RandomForest,DisparateImpactRemover,pre,0.6212,0.6437,0.6629,0.2394,-0.1166,-0.0911,-0.0787,0.8064
COMPAS,123,XGBoost,DisparateImpactRemover,pre,0.6673,0.7159,0.7079,0.33,-0.1315,-0.1011,-0.0543,0.8172
COMPAS,123,MLP,DisparateImpactRemover,pre,0.6622,0.7197,0.694,0.3223,-0.2848,-0.2633,-0.1749,0.6642
COMPAS,123,PR-LogReg,PrejudiceRemover,in,0.5802,0.6304,0.6107,0.1504,0.0357,0.0264,0.2485,1.0615
Adult,7,LogReg,Baseline,none,0.8494,0.6706,0.9017,0.5783,-0.1291,-0.0762,-0.1118,0.4134
Adult,7,LogReg,CalibratedEqOdds,post,0.8243,0.5706,0.8505,0.4857,-0.0758,0.0091,0.0415,0.5454
Adult,7,LogReg,RejectOption,post,0.7954,0.6735,0.9017,0.5569,-0.051,0.0619,0.0889,0.8663
Adult,7,RandomForest,Baseline,none,0.8436,0.6705,0.8924,0.5698,-0.1385,-0.0564,-0.0547,0.4195
Adult,7,RandomForest,CalibratedEqOdds,post,0.8436,0.6705,0.8924,0.5698,-0.1385,-0.0564,-0.0547,0.4195
Adult,7,RandomForest,RejectOption,post,0.8162,0.6676,0.8924,0.547,0.0249,0.1554,0.2134,1.0828
Adult,7,XGBoost,Baseline,none,0.8689,0.7198,0.9262,0.6373,-0.1546,-0.0979,-0.1413,0.3377
Adult,7,XGBoost,CalibratedEqOdds,post,0.8537,0.6707,0.9051,0.5861,-0.1284,-0.054,-0.0599,0.3805
Adult,7,XGBoost,RejectOption,post,0.8216,0.7072,0.9262,0.6047,-0.0364,0.0837,0.1106,0.8998
Adult,7,MLP,Baseline,none,0.8532,0.6809,0.9082,0.5903,-0.1323,-0.0887,-0.1395,0.4074
Adult,7,MLP,CalibratedEqOdds,post,0.8369,0.6224,0.8813,0.5324,-0.101,-0.0376,-0.0463,0.4738
Adult,7,MLP,RejectOption,post,0.8072,0.6871,0.9082,0.5759,-0.0599,0.0599,0.0925,0.8391
Adult,7,LogReg,Reweighing,pre,0.8461,0.6633,0.8994,0.569,-0.0633,0.0487,0.0928,0.7034
Adult,7,RandomForest,Reweighing,pre,0.8426,0.6669,0.8925,0.5659,-0.1354,-0.0553,-0.0551,0.4268
Adult,7,XGBoost,Reweighing,pre,0.8687,0.7172,0.9257,0.6356,-0.0948,0.0186,0.0509,0.5763
Adult,7,MLP,Reweighing,pre,0.8513,0.676,0.9066,0.5844,-0.0712,0.0422,0.0849,0.6703
Adult,7,LogReg,DisparateImpactRemover,pre,0.848,0.6601,0.9007,0.5706,-0.123,-0.0668,-0.0947,0.4127
Adult,7,RandomForest,DisparateImpactRemover,pre,0.8415,0.6464,0.8925,0.5521,-0.1269,-0.0773,-0.1108,0.3987
Adult,7,XGBoost,DisparateImpactRemover,pre,0.8636,0.6987,0.9195,0.6173,-0.1353,-0.0918,-0.1462,0.3748
